Experiment        l_min  l_center   l_max      Power    Sigma_minus  Sigma_plus  Upper Limit
SPT                   -999   1975.0     -999    227.7000      8.8000      8.8000    -999.000
SPT                   -999   2025.0     -999    230.3000      9.0000      9.0000    -999.000
SPT                   -999   2075.0     -999    214.0000      8.5000      8.5000    -999.000
SPT                   -999   2125.0     -999    177.8000      7.4000      7.4000    -999.000
SPT                   -999   2175.0     -999    153.6000      6.6000      6.6000    -999.000
SPT                   -999   2225.0     -999    123.2000      5.7000      5.7000    -999.000
SPT                   -999   2275.0     -999    117.1000      5.6000      5.6000    -999.000
SPT                   -999   2325.0     -999    109.9000      5.4000      5.4000    -999.000
SPT                   -999   2375.0     -999    106.0000      5.5000      5.5000    -999.000
SPT                   -999   2425.0     -999     96.5000      5.1000      5.1000    -999.000
SPT                   -999   2475.0     -999     80.9000      4.9000      4.9000    -999.000
SPT                   -999   2525.0     -999     76.3000      4.9000      4.9000    -999.000
SPT                   -999   2575.0     -999     62.4000      4.5000      4.5000    -999.000
SPT                   -999   2625.0     -999     64.3000      4.6000      4.6000    -999.000
SPT                   -999   2675.0     -999     61.9000      4.6000      4.6000    -999.000
SPT                   -999   2725.0     -999     53.8000      4.6000      4.6000    -999.000
SPT                   -999   2775.0     -999     48.6000      4.6000      4.6000    -999.000
SPT                   -999   2825.0     -999     39.2000      4.4000      4.4000    -999.000
SPT                   -999   2875.0     -999     33.4000      4.4000      4.4000    -999.000
SPT                   -999   2925.0     -999     32.8000      4.5000      4.5000    -999.000
SPT                   -999   2975.0     -999     31.1000      4.6000      4.6000    -999.000
